,id_video,start,end,text,link
0,bGBuz7UNN5I,0.0,1.68,¿Por qué no hablas por tal cosa? ¿Listo?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=0s
1,bGBuz7UNN5I,1.9,4.16,¿Cuál es tu estilo como entrevistador?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=1s
2,bGBuz7UNN5I,4.16,12.08,"A mí me gustan los entrevistadores de programas en que venden productos de gimnasia, que siempre tienen una persona y le van preguntando la fondad del producto.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=4s
3,bGBuz7UNN5I,12.6,13.68,¿Se acaba de cuenta de eso?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=12s
4,bGBuz7UNN5I,14.5,15.32,"Pero eso no, un programa entre mí.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=14s
5,bGBuz7UNN5I,15.32,20.22,"Me gusta ese tipo de programa y lo que hace Thomas Cox también, que igual es asertivo y punzante.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=15s
6,bGBuz7UNN5I,20.22,21.3,¿Y tu estilo? Un color.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=20s
7,bGBuz7UNN5I,22.22,22.48,Claro.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=22s
8,bGBuz7UNN5I,22.96,24.32,"No, no, no, pero yo creo que falta...",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=22s
9,bGBuz7UNN5I,24.32,24.86,¿Eres un coche?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=24s
10,bGBuz7UNN5I,25.36,29.82,Un periodista... periodista asertivo y que sea más punzante.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=25s
11,bGBuz7UNN5I,30.04,33.18,Y haga la pregunta que hay que hacer en el que hable el estado.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=30s
12,bGBuz7UNN5I,33.38,34.3,¿Lo podría hacer?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=33s
13,bGBuz7UNN5I,34.6,35.36,No me atrevería.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=34s
14,bGBuz7UNN5I,35.68,35.98,¿En serio?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=35s
15,bGBuz7UNN5I,36.42,37.16,Yo sí.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=36s
16,bGBuz7UNN5I,37.58,37.98,Yo sería punzante.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=37s
17,bGBuz7UNN5I,37.98,39.52,"Sí, sí, sí.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=37s
18,bGBuz7UNN5I,39.8,40.26,Yo sí.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=39s
19,bGBuz7UNN5I,40.64,41.14,"¡Sí, sí!",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=40s
20,bGBuz7UNN5I,41.54,42.54,Tú también.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=41s
21,bGBuz7UNN5I,42.98,43.22,Sí.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=42s
22,bGBuz7UNN5I,44.34,46.14,¿Quién quiere ser entrevistador?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=44s
23,bGBuz7UNN5I,46.38,47.22,¿Entrevistador que es acá?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=46s
24,bGBuz7UNN5I,48.04,49.32,La guagua con corno.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=48s
25,bGBuz7UNN5I,49.54,51.4,"A ver, puede ser Cocolitzo.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=49s
26,bGBuz7UNN5I,51.52,51.82,Ya.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=51s
27,bGBuz7UNN5I,52.76,53.54,Puede ser la guagua de la turbata.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=52s
28,bGBuz7UNN5I,53.54,55.02,No hay nadie que sea mi Cocolitzo aquí.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=53s
